CSZJJ,Taisho No.,length,rushiwowen,wenrushi,wowenrushi,rushiwen,not_in_shanzai,ye2_count,er3_count,ye3_count,ye2_final_count,er3_final_count,ye3_final_count,wei4_count,wei4_grammar_count,bei_count,bei_grammar_count,hezhe_count,hedengren_count,cun_count,tian_count,sixiang_count,di_count,di_sense_count,shigu_count,shigu_sense_count,yiqie_count,yiqie_sense_count,error,notes
度世品經,T 292 (4),11789,False,False,False,False,2,0,5,14,0,0,12,106,106,2,0,0,0,0,0,0,0,0,0,0,0,0,,
度世品經,T 292 (5),12817,False,False,False,False,2,0,0,8,0,0,8,90,86,1,1,0,0,0,0,0,0,0,0,0,0,0,,
度世品經,T 292 (6),14072,False,False,False,False,4,0,3,2,0,3,2,31,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,
密迹經,T 310 (3),8539,False,True,False,False,1,0,3,10,0,0,10,9,6,3,1,0,0,1,0,0,0,0,0,0,0,0,,
持心經,T 585 (1),17236,False,True,False,False,7,3,8,36,0,5,34,102,48,1,1,0,0,0,0,0,0,0,0,0,0,0,,
持心經,T 585 (2),17324,False,False,False,False,34,15,6,77,12,4,68,37,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,
持心經,T 585 (3),14395,False,False,False,False,4,9,12,41,6,8,29,49,44,2,0,0,0,0,0,0,0,0,0,0,0,0,,
持心經,T 585 (4),13748,False,False,False,False,7,6,4,10,3,1,10,18,8,6,0,0,0,0,0,0,0,0,0,0,0,0,,
修行經,T 606 (1),13076,False,False,False,False,2,0,17,33,0,3,26,31,22,1,0,0,0,0,0,0,0,0,0,0,0,0,,
修行經,T 606 (2),11185,False,False,False,False,1,0,3,20,0,3,18,35,35,1,0,0,0,0,0,0,0,0,0,0,0,0,,
修行經,T 606 (3),15076,False,False,False,False,0,4,14,18,3,4,17,23,10,7,1,0,0,0,0,0,0,0,0,0,0,0,,
修行經,T 606 (4),11559,False,False,False,False,1,13,12,13,10,3,6,64,36,1,0,0,0,0,0,0,0,0,0,0,0,0,,
修行經,T 606 (5),13009,False,False,False,False,1,1,7,10,1,2,10,108,95,4,2,0,0,0,0,0,0,0,0,0,0,0,,
修行經,T 606 (6),8357,False,False,False,False,0,0,2,8,0,2,7,25,17,1,0,0,0,0,0,0,0,0,0,0,0,0,,
修行經,T 606 (7),11639,False,False,False,False,0,1,4,50,1,4,47,67,51,2,1,0,0,0,0,0,0,0,0,0,0,0,,
漸備一切智經,T 285 (1),16630,False,True,False,False,9,3,2,4,3,2,3,15,13,2,0,0,0,1,0,0,0,0,0,0,0,0,,
漸備一切智經,T 285 (2),7432,False,False,False,False,1,0,2,3,0,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,
漸備一切智經,T 285 (3),8955,False,False,False,False,4,0,3,6,0,2,3,3,2,2,2,0,0,2,0,0,0,0,0,0,0,0,,
漸備一切智經,T 285 (4),18023,False,True,False,False,8,1,0,12,1,0,11,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,
漸備一切智經,T 285 (5),12683,False,False,False,False,10,1,5,10,1,2,7,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,,
生經,T 154 (1),13807,False,True,False,False,5,6,6,12,3,2,7,8,8,5,1,0,0,0,0,0,0,0,0,0,0,0,,
生經,T 154 (2),13263,False,True,False,False,49,11,5,14,3,2,10,14,2,4,1,0,0,0,0,0,0,0,0,0,0,0,,
生經,T 154 (3),13293,False,True,False,False,7,6,2,8,4,2,7,9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,,
生經,T 154 (4),11809,False,True,False,False,7,0,8,6,0,5,4,26,19,10,7,0,0,0,0,0,0,0,0,0,0,0,,
生經,T 154 (5),13874,False,True,False,False,4,2,9,28,0,3,19,7,5,4,1,0,0,0,0,0,0,0,0,0,0,0,,
海龍王經,T 598 (1),11493,False,True,False,False,5,19,10,8,19,3,8,68,66,1,0,0,0,0,0,0,0,0,0,0,0,0,,
海龍王經,T 598 (2),11491,False,False,False,False,5,0,5,82,0,0,76,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,,
海龍王經,T 598 (3),12714,False,False,False,False,5,5,8,13,3,4,6,21,14,2,2,0,0,1,0,0,0,0,0,0,0,0,,
海龍王經,T 598 (4),12404,False,False,False,False,4,2,0,18,1,0,12,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,
普超經,T 627 (1),12951,False,True,False,False,0,2,4,7,1,1,3,55,45,16,3,0,0,0,0,0,0,0,0,0,0,0,,
普超經,T 627 (2),15319,False,False,False,False,2,2,2,15,2,2,15,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,
普超經,T 627 (3),14981,False,True,False,False,40,3,3,20,3,1,15,19,9,3,1,0,0,0,0,0,0,0,0,0,0,0,,
維摩鞊經,T 477,13358,False,True,False,False,9,4,2,8,1,0,8,9,6,5,0,0,0,0,0,0,0,0,0,0,0,0,,
阿惟越致遮經,T 266 (1),15557,False,True,False,False,3,1,8,7,1,7,8,69,75,3,0,0,0,0,0,0,0,0,0,0,0,0,,
阿惟越致遮經,T 266 (2),18031,False,False,False,False,4,6,15,15,5,14,9,78,96,0,0,0,0,0,0,0,0,0,0,0,0,0,,
阿惟越致遮經,T 266 (3),12265,False,False,False,False,7,3,7,14,3,5,9,10,9,4,0,0,0,0,0,0,0,0,0,0,0,0,,
嚴淨佛土經,T 318 (1),10255,False,True,False,False,3,0,4,6,0,2,6,26,25,2,1,0,0,0,0,0,0,0,0,0,0,0,,
嚴淨佛土經,T 318 (2),10677,False,False,False,False,4,5,11,17,5,6,17,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,,
阿耨達經,T 635 (1),9316,False,True,False,False,3,4,4,10,4,1,6,70,85,1,0,0,0,0,0,0,0,0,0,0,0,0,,
阿耨達經,T 635 (2),8552,False,True,False,False,1,3,4,8,3,2,6,43,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,
阿耨達經,T 635 (3),9016,False,True,False,False,3,15,5,24,1,3,12,31,22,2,0,0,0,0,0,0,0,0,0,0,0,0,,
阿耨達經,T 635 (4),7868,False,False,False,False,5,7,3,18,6,0,17,21,21,6,5,0,0,0,0,0,0,0,0,0,0,0,,
寶藏經,T 461 (1),13270,False,True,False,False,6,10,8,22,6,8,19,47,27,3,2,0,0,0,0,0,0,0,0,0,0,0,,
寶藏經,T 461 (2),12756,False,False,False,False,3,24,2,34,9,2,30,39,17,9,9,0,0,0,0,0,0,0,0,0,0,0,,
要集經,T 810 (1),12660,False,True,False,False,0,2,10,7,1,6,2,80,66,2,0,0,0,0,0,0,0,0,0,0,0,0,,
要集經,T 810 (2),15782,False,False,False,False,5,15,15,24,9,4,3,27,17,5,0,0,0,0,0,0,0,0,0,0,0,0,,
等集眾德三昧經,T 381 (1),9739,False,True,False,False,3,3,4,10,0,1,10,31,31,1,0,0,0,0,0,0,0,0,0,0,0,0,,
等集眾德三昧經,T 381 (2),9464,False,False,False,False,3,1,2,31,1,1,29,32,8,2,0,0,0,0,0,0,0,0,0,0,0,0,,
等集眾德三昧經,T 381 (3),9372,False,False,False,False,6,0,4,23,0,1,18,30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,
離垢施女經,T 338,14860,False,True,False,False,4,10,7,6,5,2,4,50,9,4,1,0,0,0,0,0,0,0,0,0,0,0,,
郁迦長者經,T 323,14203,False,True,False,False,0,0,3,16,0,2,8,14,12,6,0,0,0,0,0,0,0,0,0,0,0,0,,
大淨法門經,T 817 ,16875,False,True,False,False,13,2,20,65,1,5,57,33,25,8,0,0,0,0,0,0,0,0,0,0,0,0,,
