taisho_no,total_length,not_in_shanzai_frequency1000,ye2_frequency1000,er3_frequency1000,ye3_frequency1000,wei4_frequency1000,bei_frequency1000,hezhe_frequency1000,hedengren_frequency1000,cun_frequency1000,tian_frequency1000,sixiang_frequency1000,di_frequency1000,shigu_frequency1000,yiqie_frequency1000,century,attribution_analysis
T 403,52524,0.1142334932602239,0.057116746630111952,0.1523113243469652,0.53308963521437824,6.8540095956134337,0.1523113243469652,0.0,0.0,0.019038915543370651,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 636,20722,0.24128945082520992,0.14477367049512596,0.91689991313579766,1.4477367049512595,0.14477367049512596,0.048257890165041985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 337,11393,0.17554638813306417,0.26331958219959622,0.087773194066532084,0.0,1.7554638813306416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 288,29789,0.033569438383295847,0.30212494544966267,0.46997213736614185,0.63781932928262108,2.7526939474302594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 496,2898,0.69013112491373363,0.0,0.0,0.0,0.34506556245686681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 558,2630,0.0,0.0,0.38022813688212925,0.0,0.38022813688212925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 182,1689,0.0,0.0,0.59206631142687971,0.0,0.0,1.1841326228537594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 638,31123,0.32130578671721882,0.032130578671721879,0.16065289335860941,2.0563570349902003,3.3415801818590753,0.064261157343443759,0.0,0.0,0.064261157343443759,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa and Nie Chengyuan
T 23,57331,0.034885140674329775,0.1395405626973191,0.26163855505747324,1.5349461896705099,0.29652369573180304,0.017442570337164887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Fa Ju
T 211,55265,0.34379806387406137,0.054283904822220209,0.34379806387406137,0.75997466751108289,1.3932868904369855,0.37998733375554145,0.0,0.0,0.48855514339998191,0.0,0.0,0.0,0.0,0.0,4,Fa Ju and Fa Li
T 683,3543,1.1289867344058708,0.0,0.0,0.0,0.56449336720293541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Fa Ju and Fa Li
T 226,56405,0.63824129066572111,0.07091569896285789,0.24820494637000268,0.0,0.60278344118429217,0.017728924740714472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Zhu Fonian
T 1547,191751,0.0052150966618166273,1.8409291216212693,0.052150966618166268,1.4393666786613888,8.0051733758885231,0.046935869956349636,0.0,0.0,0.088656643250882655,0.0,0.0,0.0,0.0,0.0,4,Saṃghabhūti and Zhu Fonian
T 1549,154019,0.025970821781728229,2.7983560469812168,0.051941643563456458,2.8373122796538088,15.225394269538175,0.0454489381180244,0.0,0.0,0.012985410890864114,0.0,0.0,0.0064927054454320572,0.0,0.0,4,Saṃghabhūti and Zhu Fonian
T 194,48402,0.16528242634601875,0.43386636915829924,0.0,0.16528242634601875,0.78509152514358915,0.12396181975951408,0.0,0.0,0.12396181975951408,0.0,0.0,0.0,0.0,0.0,4,Saṃghabhūti and Zhu Fonian
T 1505,35752,0.055940926381740877,0.16782277914522264,0.16782277914522264,2.6851644663235623,2.1537256656970238,0.19579324233609308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Zhu Fonian and Buddhapalita
T 125,526798,0.37205911943477388,0.32839912072559119,0.22209651517279869,0.7725921510711885,2.1943895003397889,0.04176173789573992,0.0,0.0,0.19362260297115783,0.0,0.0,0.0,0.0,0.0,4,Dharmanandi and Zhu Fonian
T 212,272458,0.1945253947397397,0.27527178500906563,0.17984423287258952,5.0172870680985691,1.8388155238605584,0.28261236594264066,0.0,0.0,0.18351452333937709,0.0,0.0,0.0,0.0,0.0,4,Zhu Fonian
T 656,239447,0.3883949266434743,0.47192071731949037,0.045939184871808793,0.45521555918428713,3.6333718944066953,0.020881447669004,0.0,0.0,0.012528868601402399,0.0,0.0,0.0,0.0,0.0,4,Zhu Fonian
T 309,141216,0.10622025832766825,0.304498073872649,0.07789485610695672,1.0409585316111487,2.9175164287332884,0.056650804441423071,0.0,0.0,0.0424881033310673,0.0,0.0,0.0,0.0,0.0,4,Zhu Fonian
T 385,19049,1.3649010446742613,0.78744291038899683,0.0,0.31497716415559868,1.4173972387001943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Zhu Fonian
T 26,748200,0.47447206629243516,1.2242715851376638,0.040096230954290296,1.5143009890403636,2.43918738305266,0.024057738572574178,0.0,0.0,0.32878909382518046,0.0,0.0,0.0,0.0,0.0,4,Saṃghadeva
T 1543,266009,0.0,8.0561184020089556,0.0075185426057013107,2.0412843174479058,5.5825178847332237,0.0075185426057013107,0.0,0.0,0.015037085211402621,0.0,0.0,0.0,0.0,0.0,4,Saṃghadeva
T 1550,39551,0.0,0.0505676215519203,0.025283810775960151,0.0505676215519203,4.3740992642411065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Saṃghadeva
T 1506,32441,0.030825190345550382,0.43155266483770538,0.0,0.061650380691100765,3.699022841466046,0.030825190345550382,0.0,0.0,0.030825190345550382,0.0,0.0,0.0,0.0,0.0,4,Saṃghadeva
T 223,372208,0.16388685896058117,0.102093453122985,0.010746679276103684,0.33046038774018832,0.43524051068219921,0.0080600094570777627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva and Xiao Yaoyuan
T 227,94214,0.57316322414927712,0.26535334451355425,0.01061413378054217,0.880973103785,0.19105440804975907,0.031842401341626511,0.0,0.0,0.01061413378054217,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 262,100277,0.42881219023305445,0.059834259102286666,0.069806635619334451,0.11966851820457333,0.30914367202848109,0.069806635619334451,0.0,0.0,0.0099723765170477777,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 657,153167,0.26768168077980248,0.40478693191092074,0.013057642964868412,0.22197993040276298,0.69858389862046011,0.071817036306776258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 475,37105,0.37730764047971971,0.26950545748551408,0.21560436598841126,1.0510712841935048,1.4283789246732246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 642,33752,0.11851149561507467,0.355534486845224,0.029627873903768667,0.29627873903768664,0.74069684759421661,0.38516236074899268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
T 286,61576,0.19488112251526568,0.016240093542938806,0.0,0.04872028062881642,0.58464336754579715,0.016240093542938806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Kumārajīva
