CSZJJ,taisho_no,subject_wu,subject_wo,subject_ru,past_tense_yi,past_tense_xi,present_tense_jin,future_tense_dang,future_tense_danglai,char_count,is_indiginous,error
增一阿鋡經,T 125 (34),10,30,25,43,37,1,45,85,0,11340,0,
增一阿鋡經,T 125 (35),8,74,29,63,25,3,42,68,0,10252,0,
增一阿鋡經,T 125 (36),9,33,10,33,8,5,38,55,0,8336,0,
增一阿鋡經,T 125 (37),3,57,14,53,25,1,44,42,0,8226,0,
增一阿鋡經,T 125 (38),1,48,22,39,24,3,47,53,0,8100,0,
增一阿鋡經,T 125 (39),11,83,23,33,24,6,63,46,0,8142,0,
增一阿鋡經,T 125 (40),4,30,19,54,19,4,34,41,0,8725,0,
增一阿鋡經,T 125 (41),27,63,37,87,36,5,50,72,0,11554,0,
增一阿鋡經,T 125 (42),1,37,11,44,19,4,16,32,0,9988,0,
增一阿鋡經,T 125 (43),2,75,22,51,21,1,29,61,0,9245,0,
增一阿鋡經,T 125 (44),2,35,9,55,21,1,27,33,0,7466,0,
增一阿鋡經,T 125 (45),3,39,15,60,13,0,38,45,0,7120,0,
增一阿鋡經,T 125 (46),12,39,38,88,13,6,50,55,0,11627,0,
增一阿鋡經,T 125 (47),8,61,59,68,47,4,60,74,0,12589,0,
增一阿鋡經,T 125 (48),18,111,40,85,48,2,49,80,0,14175,0,
增一阿鋡經,T 125 (49),6,75,41,67,49,8,68,76,0,13582,0,
增一阿鋡經,T 125 (50),5,60,27,48,17,5,29,24,0,7598,0,
增一阿鋡經,T 125 (51),3,38,6,27,18,1,25,61,0,9201,0,
出曜經,T 212 (1),9,42,15,59,39,13,34,33,0,9826,0,
出曜經,T 212 (2),27,42,20,44,17,13,38,32,0,9353,0,
出曜經,T 212 (3),9,31,19,53,32,16,25,25,0,9482,0,
出曜經,T 212 (4),10,39,36,69,20,16,29,28,0,9107,0,
出曜經,T 212 (5),1,18,7,70,25,6,15,22,0,9755,0,
出曜經,T 212 (6),17,32,17,64,15,7,27,25,0,9500,0,
出曜經,T 212 (7),13,20,10,66,29,7,20,29,0,9229,0,
出曜經,T 212 (8),2,25,10,40,19,7,21,23,0,8590,0,
出曜經,T 212 (9),2,26,11,56,20,3,27,18,0,8624,0,
出曜經,T 212 (10),5,18,16,49,19,7,20,27,0,9944,0,
出曜經,T 212 (11),3,16,30,37,22,8,25,57,0,10105,0,
出曜經,T 212 (12),34,23,23,28,26,7,25,39,0,10162,0,
出曜經,T 212 (13),14,27,15,33,32,4,12,25,0,9106,0,
出曜經,T 212 (14),26,26,26,37,29,12,17,31,0,8053,0,
出曜經,T 212 (15),18,20,9,34,25,7,13,44,0,8114,0,
出曜經,T 212 (16),22,71,24,25,23,10,28,37,0,7978,0,
出曜經,T 212 (17),14,56,16,44,22,4,16,76,0,9248,0,
出曜經,T 212 (18),3,9,3,22,18,5,13,34,0,7471,0,
出曜經,T 212 (19),11,7,14,25,11,6,22,29,0,7745,0,
出曜經,T 212 (20),10,52,1,42,22,8,19,27,0,9073,0,
出曜經,T 212 (21),11,41,2,58,29,4,16,39,0,9824,0,
出曜經,T 212 (22),3,18,5,25,7,5,14,33,0,9266,0,
出曜經,T 212 (23),5,31,5,49,5,9,35,25,0,9103,0,
出曜經,T 212 (24),1,43,14,29,5,6,18,59,0,8395,0,
出曜經,T 212 (25),9,29,12,35,7,6,30,68,0,9889,0,
出曜經,T 212 (26),2,4,3,42,5,2,12,19,0,8691,0,
出曜經,T 212 (27),1,8,2,40,2,4,6,22,0,9129,0,
出曜經,T 212 (28),5,31,12,44,13,1,19,33,0,9724,0,
出曜經,T 212 (29),8,26,12,62,10,2,25,18,0,9466,0,
出曜經,T 212 (30),1,9,5,51,13,2,17,29,0,8506,0,
菩薩瓔珞經,T 656 (1),25,21,5,133,9,10,26,53,0,15973,1,
菩薩瓔珞經,T 656 (2),20,67,10,107,30,9,86,37,0,24148,1,
菩薩瓔珞經,T 656 (3),14,72,8,112,48,6,41,32,0,21475,1,
菩薩瓔珞經,T 656 (4),8,53,30,107,42,0,54,38,0,15764,1,
菩薩瓔珞經,T 656 (5),6,82,17,74,49,3,56,42,0,16483,1,
菩薩瓔珞經,T 656 (6),11,53,18,113,18,3,51,27,0,21598,1,
菩薩瓔珞經,T 656 (7),15,33,22,99,4,4,28,31,0,16509,1,
菩薩瓔珞經,T 656 (8),6,31,13,75,9,0,26,17,0,15871,1,
菩薩瓔珞經,T 656 (9),3,48,14,65,9,2,39,30,0,14625,1,
菩薩瓔珞經,T 656 (10),9,30,17,71,11,3,23,19,0,14484,1,
菩薩瓔珞經,T 656 (11),13,12,13,47,14,3,26,12,0,14065,1,
菩薩瓔珞經,T 656 (12),4,31,9,156,19,1,19,42,0,11126,1,
菩薩瓔珞經,T 656 (13),8,46,22,147,9,2,49,57,0,16492,1,
菩薩瓔珞經,T 656 (14),12,77,5,92,34,3,61,56,0,20834,1,
十住斷結經,T 309 (1),12,22,3,80,19,1,8,54,0,12026,1,
十住斷結經,T 309 (2),16,48,0,124,14,1,12,75,0,13670,1,
十住斷結經,T 309 (3),6,33,4,69,20,1,20,75,0,14808,1,
十住斷結經,T 309 (4),22,29,4,110,12,4,21,56,0,13767,1,
十住斷結經,T 309 (5),18,38,5,129,13,7,20,74,0,15238,1,
十住斷結經,T 309 (6),1,8,1,113,11,0,6,44,0,13305,1,
十住斷結經,T 309 (7),8,49,3,88,12,2,18,39,0,14695,1,
十住斷結經,T 309 (8),15,16,9,107,1,4,11,27,0,13458,1,
十住斷結經,T 309 (9),14,44,16,73,6,1,9,43,0,14853,1,
十住斷結經,T 309 (10),33,29,21,122,21,4,31,27,0,15396,1,
菩薩處胎經,T 384 (1),16,33,24,45,6,2,20,16,0,10148,0,
菩薩處胎經,T 384 (2),19,23,22,36,3,5,14,16,0,8963,0,
菩薩處胎經,T 384 (3),10,38,10,46,13,6,29,16,0,10820,0,
菩薩處胎經,T 384 (4),9,23,15,40,11,2,29,13,0,8785,0,
菩薩處胎經,T 384 (5),8,27,17,46,9,2,14,4,0,8693,0,
菩薩處胎經,T 384 (6),39,36,9,25,6,7,19,19,0,8351,0,
菩薩處胎經,T 384 (7),36,164,50,97,26,18,53,49,0,17161,0,
中陰經,T 385 (1),24,42,24,34,11,3,26,13,0,9547,0,
中陰經,T 385 (2),13,66,23,23,6,3,41,22,0,9502,0,
中阿鋡經,T 26 (1),0,38,36,62,140,0,0,31,0,11119,0,
中阿鋡經,T 26 (2),0,99,5,63,79,3,19,73,0,10954,0,
中阿鋡經,T 26 (3),0,95,45,32,66,0,16,49,0,14254,0,
中阿鋡經,T 26 (4),0,141,43,82,91,2,35,18,0,14608,0,
中阿鋡經,T 26 (5),0,118,45,133,90,0,9,62,0,11555,0,
中阿鋡經,T 26 (6),7,113,16,56,52,4,24,46,0,12708,0,
中阿鋡經,T 26 (7),0,96,12,165,50,0,1,18,0,15532,0,
中阿鋡經,T 26 (8),0,179,36,100,84,0,14,14,0,14306,0,
中阿鋡經,T 26 (9),0,194,27,43,89,0,19,17,0,14286,0,
中阿鋡經,T 26 (10),2,49,8,114,144,0,8,18,0,14160,0,
中阿鋡經,T 26 (11),1,126,15,47,56,5,23,25,0,11311,0,
中阿鋡經,T 26 (12),0,87,62,16,88,6,28,16,0,13112,0,
中阿鋡經,T 26 (13),16,113,44,59,77,7,54,61,0,9799,0,
中阿鋡經,T 26 (14),3,98,53,44,83,12,36,47,0,12416,0,
中阿鋡經,T 26 (15),0,78,28,30,77,4,15,40,0,11429,0,
中阿鋡經,T 26 (16),1,185,101,42,79,0,31,55,0,14202,0,
中阿鋡經,T 26 (17),0,299,44,32,101,3,42,42,0,12126,0,
中阿鋡經,T 26 (18),0,105,47,30,117,0,3,38,0,13829,0,
中阿鋡經,T 26 (19),0,216,81,88,56,4,15,33,0,14108,0,
中阿鋡經,T 26 (20),0,24,23,89,97,0,6,19,0,10683,0,
中阿鋡經,T 26 (21),0,59,73,110,20,0,6,40,0,9901,0,
中阿鋡經,T 26 (22),0,66,15,119,38,0,4,19,0,9773,0,
中阿鋡經,T 26 (23),0,126,8,136,18,0,3,39,0,12063,0,
中阿鋡經,T 26 (24),0,26,9,11,24,0,19,76,0,12277,0,
中阿鋡經,T 26 (25),0,86,28,29,51,0,6,34,0,10336,0,
中阿鋡經,T 26 (26),0,106,57,40,50,3,5,15,0,12274,0,
中阿鋡經,T 26 (27),0,104,14,63,61,0,4,27,0,10233,0,
中阿鋡經,T 26 (28),0,57,15,69,12,0,14,60,0,9344,0,
中阿鋡經,T 26 (29),0,98,21,76,91,3,11,17,0,13001,0,
中阿鋡經,T 26 (30),0,57,34,67,60,8,12,16,0,13632,0,
中阿鋡經,T 26 (31),0,121,43,12,46,2,38,21,0,9566,0,
中阿鋡經,T 26 (32),0,100,36,14,35,0,21,33,0,9038,0,
中阿鋡經,T 26 (33),0,195,47,29,77,8,17,67,0,16417,0,
中阿鋡經,T 26 (34),0,181,14,103,27,5,6,33,0,10238,0,
中阿鋡經,T 26 (35),0,76,55,68,76,5,11,13,0,10743,0,
中阿鋡經,T 26 (36),0,80,15,31,77,1,21,17,0,13050,0,
中阿鋡經,T 26 (37),0,84,37,38,21,1,7,7,0,12033,0,
中阿鋡經,T 26 (38),0,101,35,23,45,4,17,13,0,12304,0,
中阿鋡經,T 26 (39),0,93,19,37,47,9,21,19,0,10427,0,
中阿鋡經,T 26 (40),0,103,23,25,40,4,29,14,0,10432,0,
中阿鋡經,T 26 (41),0,34,9,14,57,2,8,0,0,9122,0,
中阿鋡經,T 26 (42),0,79,22,67,90,0,15,44,0,11414,0,
中阿鋡經,T 26 (43),0,64,18,73,91,0,6,39,0,13229,0,
中阿鋡經,T 26 (44),0,82,26,9,73,0,13,33,0,9599,0,
中阿鋡經,T 26 (45),0,22,5,8,54,1,3,56,0,8878,0,
中阿鋡經,T 26 (46),0,138,1,5,45,0,2,45,0,8720,0,
中阿鋡經,T 26 (47),0,57,1,27,81,1,18,44,0,11225,0,
中阿鋡經,T 26 (48),0,128,34,101,77,0,22,34,0,13493,0,
中阿鋡經,T 26 (49),0,164,27,103,108,0,8,62,0,15660,0,
中阿鋡經,T 26 (50),0,140,67,48,39,6,19,22,0,10533,0,
中阿鋡經,T 26 (51),0,159,53,100,105,4,15,21,0,11151,0,
中阿鋡經,T 26 (52),0,77,77,36,41,1,15,35,0,11793,0,
中阿鋡經,T 26 (53),0,29,10,11,44,0,1,15,0,7675,0,
中阿鋡經,T 26 (54),0,186,117,43,66,2,21,27,0,13854,0,
中阿鋡經,T 26 (55),0,120,7,40,26,0,30,45,0,10309,0,
中阿鋡經,T 26 (56),0,140,25,34,77,2,20,29,0,10567,0,
中阿鋡經,T 26 (57),0,210,27,24,48,8,13,4,0,12346,0,
中阿鋡經,T 26 (58),0,22,5,6,136,0,0,7,0,10005,0,
中阿鋡經,T 26 (59),0,152,19,51,98,1,32,30,0,15611,0,
中阿鋡經,T 26 (60),0,117,19,57,30,2,16,145,0,16914,0,
阿毘曇八揵度,T 1543 (1),0,36,6,54,15,0,4,48,0,7941,0,
阿毘曇八揵度,T 1543 (2),0,33,0,84,27,0,5,63,0,9150,0,
阿毘曇八揵度,T 1543 (3),0,35,0,57,56,0,0,66,0,7749,0,
阿毘曇八揵度,T 1543 (4),0,7,0,21,29,0,0,12,0,9698,0,
阿毘曇八揵度,T 1543 (5),0,0,0,1,86,0,2,2,0,8347,0,
阿毘曇八揵度,T 1543 (6),0,5,0,9,44,0,3,10,0,7399,0,
阿毘曇八揵度,T 1543 (7),0,2,0,31,10,0,0,1,0,8113,0,
阿毘曇八揵度,T 1543 (8),0,13,0,9,47,0,0,2,0,18780,0,
阿毘曇八揵度,T 1543 (9),0,0,0,86,47,0,0,0,0,9440,0,
阿毘曇八揵度,T 1543 (10),0,9,0,17,68,0,0,9,0,7141,0,
阿毘曇八揵度,T 1543 (11),0,0,0,7,0,0,0,7,0,8776,0,
阿毘曇八揵度,T 1543 (12),0,1,0,25,1,0,0,12,0,8941,0,
阿毘曇八揵度,T 1543 (13),0,0,0,68,27,0,0,4,0,10024,0,
阿毘曇八揵度,T 1543 (14),0,2,0,23,42,0,2,2,0,9655,0,
阿毘曇八揵度,T 1543 (15),0,1,0,52,0,0,0,18,0,7613,0,
阿毘曇八揵度,T 1543 (16),0,8,0,0,0,0,0,3,0,6136,0,
阿毘曇八揵度,T 1543 (17),0,5,0,38,5,0,9,4,0,9992,0,
阿毘曇八揵度,T 1543 (18),0,0,0,29,1,0,0,0,0,8258,0,
阿毘曇八揵度,T 1543 (20),0,0,0,32,23,0,0,45,0,8920,0,
阿毘曇八揵度,T 1543 (21),0,0,0,159,21,0,0,99,0,13851,0,
阿毘曇八揵度,T 1543 (22),0,0,0,78,11,0,0,35,0,10203,0,
阿毘曇八揵度,T 1543 (23),0,0,0,283,0,0,0,1,0,7473,0,
阿毘曇八揵度,T 1543 (24),0,0,0,189,0,0,1,0,0,6081,0,
阿毘曇八揵度,T 1543 (25),0,0,0,61,0,0,0,4,0,6120,0,
阿毘曇八揵度,T 1543 (26),0,0,0,32,2,0,0,19,0,6028,0,
阿毘曇八揵度,T 1543 (27),0,12,2,27,9,0,1,17,0,12608,0,
阿毘曇八揵度,T 1543 (28),0,11,0,51,3,0,0,26,0,8895,0,
阿毘曇八揵度,T 1543 (29),0,2,0,59,8,0,0,29,0,9297,0,
阿毘曇八揵度,T 1543 (30),0,60,0,172,38,0,7,47,0,13380,0,
阿毘曇心,T 1550 (1),0,12,0,53,38,0,22,63,0,10378,0,
阿毘曇心,T 1550 (2),0,12,0,59,33,0,12,51,0,8173,0,
阿毘曇心,T 1550 (3),0,7,0,51,35,0,16,50,0,9632,0,
阿毘曇心,T 1550 (4),1,10,0,72,25,0,10,34,0,11368,0,
三法度,T 1506 (1),0,35,6,8,40,0,7,33,0,10140,0,
三法度,T 1506 (2),0,50,1,11,52,0,7,31,0,11385,0,
三法度,T 1506 (3),0,3,0,2,33,0,4,20,0,10916,0,
新大品經,T 223 (1),0,50,6,128,16,0,5,97,0,14068,0,
新大品經,T 223 (2),0,26,10,98,9,0,1,33,0,13838,0,
新大品經,T 223 (3),3,46,4,75,4,0,3,41,0,11590,0,
新大品經,T 223 (4),0,49,22,45,5,0,0,46,0,14716,0,
新大品經,T 223 (5),0,27,3,227,10,0,1,12,0,15052,0,
新大品經,T 223 (6),0,31,9,138,8,0,4,75,0,18955,0,
新大品經,T 223 (7),0,78,15,122,5,0,15,61,0,16647,0,
新大品經,T 223 (8),2,39,8,100,8,1,5,29,0,12244,0,
新大品經,T 223 (9),0,19,14,141,8,0,15,31,0,12313,0,
新大品經,T 223 (10),0,36,38,83,16,0,7,32,0,12515,0,
新大品經,T 223 (11),0,17,3,194,12,0,4,11,0,15832,0,
新大品經,T 223 (12),0,72,8,68,1,0,1,16,0,14957,0,
新大品經,T 223 (13),0,22,12,75,11,0,6,95,0,12494,0,
新大品經,T 223 (14),0,13,9,87,7,0,3,62,0,13720,0,
新大品經,T 223 (15),0,45,6,26,6,0,6,48,0,11608,0,
新大品經,T 223 (16),0,27,22,56,0,0,5,44,0,12027,0,
新大品經,T 223 (17),0,108,32,56,9,0,4,69,0,15064,0,
新大品經,T 223 (18),0,69,34,68,11,0,9,60,0,11466,0,
新大品經,T 223 (19),0,57,20,81,14,0,5,55,0,11045,0,
新大品經,T 223 (20),0,39,15,65,10,0,8,30,0,11491,0,
新大品經,T 223 (21),0,28,10,95,6,0,2,42,0,16200,0,
新大品經,T 223 (22),1,20,2,90,25,0,0,25,0,12333,0,
新大品經,T 223 (23),0,31,3,109,45,0,0,19,0,15316,0,
新大品經,T 223 (24),0,22,17,100,14,0,0,17,0,14959,0,
新大品經,T 223 (25),1,29,63,79,10,0,6,40,0,11489,0,
新大品經,T 223 (26),1,34,43,144,23,0,9,38,0,16605,0,
新大品經,T 223 (27),0,152,87,187,28,0,24,113,0,13664,0,
新小品經,T 227 (1),0,51,11,50,14,0,10,38,0,9007,0,
新小品經,T 227 (2),0,37,8,64,5,1,6,25,0,8634,0,
新小品經,T 227 (3),0,12,9,83,14,0,6,25,0,10253,0,
新小品經,T 227 (4),0,21,8,75,7,0,3,40,0,7916,0,
新小品經,T 227 (5),0,21,8,86,7,0,2,66,0,10107,0,
新小品經,T 227 (6),0,21,24,60,8,0,8,40,0,9512,0,
新小品經,T 227 (7),0,64,18,51,15,0,24,66,0,10714,0,
新小品經,T 227 (8),0,51,12,40,7,0,3,34,0,7874,0,
新小品經,T 227 (9),0,38,14,89,7,0,10,97,0,8399,0,
新小品經,T 227 (10),0,117,64,177,23,0,35,80,0,11798,0,
新法華經,T 262 (1),2,72,18,214,45,5,37,44,0,14287,0,
新法華經,T 262 (2),7,152,59,158,38,15,52,34,0,14527,0,
新法華經,T 262 (3),1,72,31,203,45,10,31,42,0,13400,0,
新法華經,T 262 (4),4,134,28,159,26,3,37,75,0,15780,0,
新法華經,T 262 (5),0,87,28,200,34,8,27,40,0,15001,0,
新法華經,T 262 (6),0,47,43,158,37,1,24,43,0,13945,0,
新法華經,T 262 (7),0,56,32,81,24,1,18,41,0,13337,0,
華首經,T 657 (1),2,99,26,124,21,2,29,27,0,13569,0,
華首經,T 657 (2),1,83,38,117,8,4,30,43,0,12961,0,
華首經,T 657 (3),0,48,26,44,19,0,127,15,0,16263,0,
華首經,T 657 (4),0,11,1,50,3,0,226,5,0,16943,0,
華首經,T 657 (5),0,21,12,54,23,0,157,3,0,17151,0,
華首經,T 657 (6),0,91,52,167,33,2,36,70,0,18465,0,
華首經,T 657 (7),10,166,98,143,67,5,73,138,0,20907,0,
華首經,T 657 (8),0,56,39,82,15,0,15,40,0,8699,0,
華首經,T 657 (9),1,127,35,156,43,3,42,76,0,17783,0,
華首經,T 657 (10),0,53,14,144,13,0,13,50,0,10426,0,
新維摩詰經,T 475 (1),2,122,39,133,19,14,8,32,0,12638,0,
新維摩詰經,T 475 (2),5,60,7,92,15,1,12,36,0,14069,0,
新維摩詰經,T 475 (3),2,33,30,119,26,1,14,39,0,10398,0,
新首楞嚴經,T 642 (1),2,46,38,214,68,1,25,50,0,16645,0,
新首楞嚴經,T 642 (2),0,133,58,150,47,1,35,56,0,17107,0,
十住經,T 286 (1),0,63,6,307,33,0,11,19,0,15315,0,
十住經,T 286 (2),0,25,4,167,30,0,14,14,0,11445,0,
十住經,T 286 (3),0,23,14,283,23,0,15,11,0,16477,0,
十住經,T 286 (4),0,10,4,341,14,0,8,7,0,18339,0,
思益義經,T 586 (1),0,53,17,112,16,1,15,119,0,14585,0,
思益義經,T 586 (2),4,74,59,134,16,1,20,30,0,13615,0,
思益義經,T 586 (3),0,43,21,125,11,0,8,22,0,16974,0,
思益義經,T 586 (4),0,77,25,148,19,0,20,53,0,14169,0,
持世經,T 482 (1),1,77,13,157,14,0,20,64,0,12003,0,
持世經,T 482 (2),0,49,6,107,18,0,4,15,0,10259,0,
持世經,T 482 (3),0,38,0,145,3,0,4,5,0,10544,0,
持世經,T 482 (4),0,31,9,132,15,0,15,36,0,10610,0,
佛藏經,T 653 (1),0,96,15,128,7,0,2,26,0,13143,0,
佛藏經,T 653 (2),0,121,29,130,8,1,24,34,0,13308,0,
佛藏經,T 653 (3),0,230,39,143,20,0,32,53,0,15625,0,
菩薩藏,T 310(17a),2,108,26,174,51,4,25,45,0,14361,0,
菩薩藏,T 310(17b),0,112,18,146,30,1,47,42,0,10910,0,
菩薩藏,T 310(17c),0,243,52,118,43,1,48,49,0,11621,0,
無量壽經,T 366,0,7,10,35,5,0,6,13,0,2775,0,
彌勒下生經,T 454,0,19,12,29,7,1,11,6,0,3834,0,
彌勒成佛經,T 456,0,34,19,72,22,2,27,14,0,10142,0,
金剛般若經,T 235,0,64,12,33,5,4,4,20,0,7788,0,
諸法無行經,T 650 (1),1,25,12,94,15,0,13,20,0,11848,0,
諸法無行經,T 650 (2),0,31,19,81,11,0,8,23,0,9753,0,
菩提經,T 464,0,6,4,34,1,0,2,8,0,4261,0,
遺教經,T 389,0,10,31,24,8,0,3,40,0,3005,0,
菩薩呵色欲,T 615,0,0,0,0,0,0,0,1,0,507,0,
禪法要解,T 616 (1),1,31,9,69,36,0,17,25,0,12592,0,
禪法要解,T 616 (2),0,14,0,52,23,1,10,21,0,10162,0,
禪經,T 614 (1),1,31,37,67,23,0,21,72,0,14760,0,
禪經,T 614 (2),3,62,9,75,13,0,9,53,0,17728,0,
雜譬喻經,T 207,9,115,76,59,26,33,20,57,0,15351,0,
大智論,T 1509 (1),6,82,21,94,24,2,36,22,0,16487,0,
大智論,T 1509 (2),0,78,58,128,30,1,37,27,0,18103,0,
大智論,T 1509 (3),1,55,32,138,63,1,24,21,0,18584,0,
大智論,T 1509 (4),2,69,51,68,26,2,13,46,0,20077,0,
大智論,T 1509 (5),1,22,6,138,22,0,5,5,0,15469,0,
大智論,T 1509 (6),6,33,17,135,16,1,21,8,0,14970,0,
大智論,T 1509 (7),3,17,2,114,8,1,22,17,0,15276,0,
大智論,T 1509 (8),1,27,21,73,14,1,48,13,0,16958,0,
大智論,T 1509 (9),0,28,14,90,13,0,24,17,0,13303,0,
大智論,T 1509 (10),1,57,41,159,24,0,26,18,0,21162,0,
大智論,T 1509 (11),1,73,37,83,27,2,27,25,0,18947,0,
大智論,T 1509 (12),0,128,47,43,19,2,35,39,0,17998,0,
大智論,T 1509 (13),1,50,18,67,24,1,28,40,0,19201,0,
大智論,T 1509 (14),0,80,24,52,16,1,31,55,0,13551,0,
大智論,T 1509 (15),0,37,22,95,9,0,26,23,0,12523,0,
大智論,T 1509 (16),0,37,27,77,11,1,12,17,0,13183,0,
大智論,T 1509 (17),0,65,27,108,39,0,21,37,0,19296,0,
大智論,T 1509 (18),1,32,14,144,32,0,19,24,0,16313,0,
大智論,T 1509 (19),0,57,9,94,30,0,23,33,0,18598,0,
大智論,T 1509 (20),1,25,8,114,16,0,11,10,0,17120,0,
大智論,T 1509 (21),0,26,2,60,30,0,16,23,0,14182,0,
大智論,T 1509 (22),0,70,18,75,12,1,28,37,0,16205,0,
大智論,T 1509 (23),0,90,3,59,20,2,10,13,0,14476,0,
大智論,T 1509 (24),0,21,4,72,12,0,11,18,0,13857,0,
大智論,T 1509 (25),3,35,0,75,11,0,4,4,0,13137,0,
大智論,T 1509 (26),0,82,20,122,37,0,25,10,0,20439,0,
大智論,T 1509 (27),0,10,10,127,26,0,12,27,0,17758,0,
大智論,T 1509 (28),1,10,8,95,34,1,12,19,0,14790,0,
大智論,T 1509 (29),2,30,4,73,11,0,16,35,0,14340,0,
大智論,T 1509 (30),2,17,10,126,27,0,29,34,0,19050,0,
大智論,T 1509 (31),5,115,12,133,26,0,37,22,0,25491,0,
大智論,T 1509 (32),0,18,7,131,11,1,5,30,0,14519,0,
大智論,T 1509 (33),1,14,6,89,19,3,17,26,0,12843,0,
大智論,T 1509 (34),0,40,3,97,30,0,16,42,0,13694,0,
大智論,T 1509 (35),0,79,14,103,24,0,36,36,0,18893,0,
大智論,T 1509 (36),1,9,5,61,10,0,16,11,0,16633,0,
大智論,T 1509 (37),0,41,3,83,7,0,11,23,0,15515,0,
大智論,T 1509 (38),1,11,17,93,15,0,15,14,0,15201,0,
大智論,T 1509 (39),0,9,1,68,5,0,10,11,0,13662,0,
大智論,T 1509 (40),1,20,3,127,24,0,20,31,0,16987,0,
大智論,T 1509 (41),0,28,13,93,12,0,7,43,0,15913,0,
大智論,T 1509 (42),5,69,8,79,15,2,13,15,0,12925,0,
大智論,T 1509 (43),1,32,4,97,5,0,11,16,0,13211,0,
大智論,T 1509 (44),0,43,37,44,6,0,15,34,0,15257,0,
大智論,T 1509 (45),1,49,1,100,15,0,8,40,0,14892,0,
大智論,T 1509 (46),2,17,5,86,11,0,10,17,0,16140,0,
大智論,T 1509 (47),0,4,2,264,4,0,4,0,0,13088,0,
大智論,T 1509 (48),1,47,9,127,25,0,7,10,0,15901,0,
大智論,T 1509 (49),0,46,12,69,10,0,14,21,0,14947,0,
大智論,T 1509 (50),0,10,3,81,6,0,14,6,0,14106,0,
大智論,T 1509 (51),0,28,7,115,16,0,11,71,0,16415,0,
大智論,T 1509 (52),0,45,5,52,8,0,10,38,0,13692,0,
大智論,T 1509 (53),0,39,16,72,14,0,24,15,0,14224,0,
大智論,T 1509 (54),0,51,13,138,11,0,23,33,0,13441,0,
大智論,T 1509 (55),2,25,8,114,12,0,18,34,0,18357,0,
大智論,T 1509 (56),2,45,5,100,17,2,24,22,0,13443,0,
大智論,T 1509 (57),0,9,11,56,7,0,6,8,0,9685,0,
大智論,T 1509 (58),0,19,6,163,11,0,34,29,0,15088,0,
大智論,T 1509 (59),2,36,6,92,9,0,9,14,0,13123,0,
大智論,T 1509 (60),0,14,33,41,14,0,12,20,0,10012,0,
大智論,T 1509 (61),0,27,6,249,18,0,19,10,0,18975,0,
大智論,T 1509 (62),2,9,4,106,6,0,12,11,0,15014,0,
大智論,T 1509 (63),0,66,3,64,3,0,13,4,0,13667,0,
大智論,T 1509 (64),0,50,15,90,4,0,11,23,0,12835,0,
大智論,T 1509 (65),0,12,1,90,8,0,12,3,0,17260,0,
大智論,T 1509 (66),0,11,4,46,6,0,10,42,0,10813,0,
大智論,T 1509 (67),0,22,0,83,9,0,8,40,0,11704,0,
大智論,T 1509 (68),0,19,10,36,9,0,6,58,0,11755,0,
大智論,T 1509 (69),0,22,14,70,12,0,3,55,0,13834,0,
大智論,T 1509 (70),0,12,1,128,11,0,16,6,0,16335,0,
大智論,T 1509 (71),0,54,8,76,11,0,13,55,0,19779,0,
大智論,T 1509 (72),0,29,6,77,10,0,10,18,0,16924,0,
大智論,T 1509 (73),0,24,40,81,6,0,24,48,0,14850,0,
大智論,T 1509 (74),0,33,14,102,7,0,7,18,0,15755,0,
大智論,T 1509 (75),0,113,25,47,21,0,14,67,0,16540,0,
大智論,T 1509 (76),2,65,27,83,17,0,17,59,0,13463,0,
大智論,T 1509 (77),0,85,31,95,20,0,13,32,0,19722,0,
大智論,T 1509 (78),0,50,15,60,15,0,5,34,0,11934,0,
大智論,T 1509 (79),0,33,33,144,24,0,18,58,0,15042,0,
大智論,T 1509 (80),0,38,2,48,6,0,9,14,0,10089,0,
大智論,T 1509 (81),0,31,0,67,7,0,7,5,0,13142,0,
大智論,T 1509 (82),0,30,3,120,22,0,9,27,0,15452,0,
大智論,T 1509 (83),0,13,8,65,10,0,9,22,0,12856,0,
大智論,T 1509 (84),0,16,11,78,15,0,9,10,0,14651,0,
大智論,T 1509 (85),1,10,4,113,31,0,4,23,0,14918,0,
大智論,T 1509 (86),0,34,1,109,30,0,5,25,0,16474,0,
大智論,T 1509 (87),0,28,7,134,39,0,8,14,0,18556,0,
大智論,T 1509 (88),0,32,10,111,29,0,16,14,0,19809,0,
大智論,T 1509 (89),1,7,20,107,12,0,7,23,0,17804,0,
大智論,T 1509 (90),0,10,34,90,16,0,14,20,0,14082,0,
大智論,T 1509 (91),1,38,61,62,13,0,11,36,0,11856,0,
大智論,T 1509 (92),0,15,7,48,14,0,14,9,0,8680,0,
大智論,T 1509 (93),0,36,11,65,10,0,8,19,0,12493,0,
大智論,T 1509 (94),0,11,11,95,20,0,13,14,0,13770,0,
大智論,T 1509 (95),0,36,28,135,9,0,12,24,0,15203,0,
大智論,T 1509 (96),2,41,26,74,9,0,22,26,0,11960,0,
大智論,T 1509 (97),1,20,10,95,9,0,7,19,0,8290,0,
大智論,T 1509 (98),0,144,69,111,32,0,35,50,0,15182,0,
大智論,T 1509 (99),0,31,18,116,23,0,15,36,0,12599,0,
大智論,T 1509 (100),0,27,24,149,26,0,27,44,0,13489,0,
成實論,T 1646 (1),0,37,16,88,14,1,13,27,0,14152,0,
